Survived,PassengerId,Name
0,892,"Kelly, Mr. James"
1,893,"Wilkes, Mrs. James (Ellen Needs)"
0,894,"Myles, Mr. Thomas Francis"
0,895,"Wirz, Mr. Albert"
1,896,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)"
1,897,"Svensson, Mr. Johan Cervin"
0,898,"Connolly, Miss. Kate"
1,899,"Caldwell, Mr. Albert Francis"
1,900,"Abrahim, Mrs. Joseph (Sophie Halaut Easu)"
0,901,"Davies, Mr. John Samuel"
0,902,"Ilieff, Mr. Ylio"
0,903,"Jones, Mr. Charles Cresson"
1,904,"Snyder, Mrs. John Pillsbury (Nelle Stevenson)"
0,905,"Howard, Mr. Benjamin"
1,906,"Chaffee, Mrs. Herbert Fuller (Carrie Constance Toogood)"
1,907,"del Carlo, Mrs. Sebastiano (Argenia Genovesi)"
0,908,"Keane, Mr. Daniel"
0,909,"Assaf, Mr. Gerios"
0,910,"Ilmakangas, Miss. Ida Livija"
1,911,"Assaf Khalil, Mrs. Mariana (""Miriam"")"
0,912,"Rothschild, Mr. Martin"
1,913,"Olsen, Master. Artur Karl"
1,914,"Flegenheim, Mrs. Alfred (Antoinette)"
1,915,"Williams, Mr. Richard Norris II"
1,916,"Ryerson, Mrs. Arthur Larned (Emily Maria Borie)"
0,917,"Robins, Mr. Alexander A"
1,918,"Ostby, Miss. Helene Ragnhild"
0,919,"Daher, Mr. Shedid"
0,920,"Brady, Mr. John Bertram"
0,921,"Samaan, Mr. Elias"
0,922,"Louch, Mr. Charles Alexander"
0,923,"Jefferys, Mr. Clifford Thomas"
1,924,"Dean, Mrs. Bertram (Eva Georgetta Light)"
0,925,"Johnston, Mrs. Andrew G (Elizabeth ""Lily"" Watson)"
1,926,"Mock, Mr. Philipp Edmund"
0,927,"Katavelas, Mr. Vassilios (""Catavelas Vassilios"")"
1,928,"Roth, Miss. Sarah A"
0,929,"Cacic, Miss. Manda"
1,930,"Sap, Mr. Julius"
1,931,"Hee, Mr. Ling"
1,932,"Karun, Mr. Franz"
0,933,"Franklin, Mr. Thomas Parham"
0,934,"Goldsmith, Mr. Nathan"
0,935,"Corbett, Mrs. Walter H (Irene Colvin)"
1,936,"Kimball, Mrs. Edwin Nelson Jr (Gertrude Parsons)"
0,937,"Peltomaki, Mr. Nikolai Johannes"
1,938,"Chevre, Mr. Paul Romaine"
0,939,"Shaughnessy, Mr. Patrick"
1,940,"Bucknell, Mrs. William Robert (Emma Eliza Ward)"
1,941,"Coutts, Mrs. William (Winnie ""Minnie"" Treanor)"
0,942,"Smith, Mr. Lucien Philip"
0,943,"Pulbaum, Mr. Franz"
1,944,"Hocking, Miss. Ellen ""Nellie"""
1,945,"Fortune, Miss. Ethel Flora"
0,946,"Mangiavacchi, Mr. Serafino Emilio"
0,947,"Rice, Master. Albert"
0,948,"Cor, Mr. Bartol"
1,949,"Abelseth, Mr. Olaus Jorgensen"
0,950,"Davison, Mr. Thomas Henry"
1,951,"Chaudanson, Miss. Victorine"
0,952,"Dika, Mr. Mirko"
0,953,"McCrae, Mr. Arthur Gordon"
0,954,"Bjorklund, Mr. Ernst Herbert"
1,955,"Bradley, Miss. Bridget Delia"
1,956,"Ryerson, Master. John Borie"
0,957,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)"
0,958,"Burns, Miss. Mary Delia"
0,959,"Moore, Mr. Clarence Bloomfield"
1,960,"Tucker, Mr. Gilbert Milligan Jr"
1,961,"Fortune, Mrs. Mark (Mary McDougald)"
1,962,"Mulvihill, Miss. Bertha E"
0,963,"Minkoff, Mr. Lazar"
0,964,"Nieminen, Miss. Manta Josefina"
0,965,"Ovies y Rodriguez, Mr. Servando"
1,966,"Geiger, Miss. Amalie"
0,967,"Keeping, Mr. Edwin"
0,968,"Miles, Mr. Frank"
1,969,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)"
0,970,"Aldworth, Mr. Charles Augustus"
0,971,"Doyle, Miss. Elizabeth"
0,972,"Boulos, Master. Akar"
0,973,"Straus, Mr. Isidor"
0,974,"Case, Mr. Howard Brown"
0,975,"Demetri, Mr. Marinko"
0,976,"Lamb, Mr. John Joseph"
0,977,"Khalil, Mr. Betros"
0,978,"Barry, Miss. Julia"
1,979,"Badman, Miss. Emily Louisa"
0,980,"O'Donoghue, Ms. Bridget"
1,981,"Wells, Master. Ralph Lester"
1,982,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)"
0,983,"Pedersen, Mr. Olaf"
1,984,"Davidson, Mrs. Thornton (Orian Hays)"
0,985,"Guest, Mr. Robert"
0,986,"Birnbaum, Mr. Jakob"
1,987,"Tenglin, Mr. Gunnar Isidor"
1,988,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)"
0,989,"Makinen, Mr. Kalle Edvard"
0,990,"Braf, Miss. Elin Ester Maria"
0,991,"Nancarrow, Mr. William Henry"
1,992,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)"
0,993,"Weisz, Mr. Leopold"
0,994,"Foley, Mr. William"
1,995,"Johansson Palmquist, Mr. Oskar Leander"
1,996,"Thomas, Mrs. Alexander (Thamine ""Thelma"")"
0,997,"Holthen, Mr. Johan Martin"
1,998,"Buckley, Mr. Daniel"
1,999,"Ryan, Mr. Edward"
0,1000,"Willer, Mr. Aaron (""Abi Weller"")"
0,1001,"Swane, Mr. George"
0,1002,"Stanton, Mr. Samuel Ward"
1,1003,"Shine, Miss. Ellen Natalia"
0,1004,"Evans, Miss. Edith Corse"
0,1005,"Buckley, Miss. Katherine"
0,1006,"Straus, Mrs. Isidor (Rosalie Ida Blun)"
0,1007,"Chronopoulos, Mr. Demetrios"
0,1008,"Thomas, Mr. John"
1,1009,"Sandstrom, Miss. Beatrice Irene"
0,1010,"Beattie, Mr. Thomson"
0,1011,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)"
1,1012,"Watt, Miss. Bertha J"
0,1013,"Kiernan, Mr. John"
1,1014,"Schabert, Mrs. Paul (Emma Mock)"
0,1015,"Carver, Mr. Alfred John"
1,1016,"Kennedy, Mr. John"
1,1017,"Cribb, Miss. Laura Alice"
0,1018,"Brobeck, Mr. Karl Rudolf"
1,1019,"McCoy, Miss. Alicia"
0,1020,"Bowenur, Mr. Solomon"
0,1021,"Petersen, Mr. Marius"
0,1022,"Spinner, Mr. Henry John"
1,1023,"Gracie, Col. Archibald IV"
0,1024,"Lefebre, Mrs. Frank (Frances)"
0,1025,"Thomas, Mr. Charles P"
0,1026,"Dintcheff, Mr. Valtcho"
0,1027,"Carlsson, Mr. Carl Robert"
0,1028,"Zakarian, Mr. Mapriededer"
0,1029,"Schmidt, Mr. August"
1,1030,"Drapkin, Miss. Jennie"
0,1031,"Goodwin, Mr. Charles Frederick"
0,1032,"Goodwin, Miss. Jessie Allis"
1,1033,"Daniels, Miss. Sarah"
0,1034,"Ryerson, Mr. Arthur Larned"
0,1035,"Beauchamp, Mr. Henry James"
0,1036,"Lindeberg-Lind, Mr. Erik Gustaf (""Mr Edward Lingrey"")"
0,1037,"Vander Planke, Mr. Julius"
0,1038,"Hilliard, Mr. Herbert Henry"
0,1039,"Davies, Mr. Evan"
0,1040,"Crafton, Mr. John Bertram"
0,1041,"Lahtinen, Rev. William"
1,1042,"Earnshaw, Mrs. Boulton (Olive Potter)"
0,1043,"Matinoff, Mr. Nicola"
0,1044,"Storey, Mr. Thomas"
0,1045,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)"
0,1046,"Asplund, Master. Filip Oscar"
1,1047,"Duquemin, Mr. Joseph"
1,1048,"Bird, Miss. Ellen"
1,1049,"Lundin, Miss. Olga Elida"
0,1050,"Borebank, Mr. John James"
0,1051,"Peacock, Mrs. Benjamin (Edith Nile)"
1,1052,"Smyth, Miss. Julia"
1,1053,"Touma, Master. Georges Youssef"
1,1054,"Wright, Miss. Marion"
0,1055,"Pearce, Mr. Ernest"
0,1056,"Peruschitz, Rev. Joseph Maria"
1,1057,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)"
0,1058,"Brandeis, Mr. Emil"
0,1059,"Ford, Mr. Edward Watson"
1,1060,"Cassebeer, Mrs. Henry Arthur Jr (Eleanor Genevieve Fosdick)"
1,1061,"Hellstrom, Miss. Hilda Maria"
0,1062,"Lithman, Mr. Simon"
0,1063,"Zakarian, Mr. Ortin"
0,1064,"Dyker, Mr. Adolf Fredrik"
0,1065,"Torfa, Mr. Assad"
0,1066,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson"
1,1067,"Brown, Miss. Edith Eileen"
1,1068,"Sincock, Miss. Maude"
1,1069,"Stengel, Mr. Charles Emil Henry"
1,1070,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)"
1,1071,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)"
0,1072,"McCrie, Mr. James Matthew"
0,1073,"Compton, Mr. Alexander Taylor Jr"
1,1074,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)"
0,1075,"Lane, Mr. Patrick"
1,1076,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)"
0,1077,"Maybery, Mr. Frank Hubert"
1,1078,"Phillips, Miss. Alice Frances Louisa"
0,1079,"Davies, Mr. Joseph"
0,1080,"Sage, Miss. Ada"
0,1081,"Veal, Mr. James"
0,1082,"Angle, Mr. William A"
1,1083,"Salomon, Mr. Abraham L"
0,1084,"van Billiard, Master. Walter John"
0,1085,"Lingane, Mr. John"
1,1086,"Drew, Master. Marshall Brines"
0,1087,"Karlsson, Mr. Julius Konrad Eugen"
1,1088,"Spedden, Master. Robert Douglas"
1,1089,"Nilsson, Miss. Berta Olivia"
0,1090,"Baimbrigge, Mr. Charles Robert"
0,1091,"Rasmussen, Mrs. (Lena Jacobsen Solvang)"
1,1092,"Murphy, Miss. Nora"
0,1093,"Danbom, Master. Gilbert Sigvard Emanuel"
0,1094,"Astor, Col. John Jacob"
1,1095,"Quick, Miss. Winifred Vera"
0,1096,"Andrew, Mr. Frank Thomas"
1,1097,"Omont, Mr. Alfred Fernand"
0,1098,"McGowan, Miss. Katherine"
1,1099,"Collett, Mr. Sidney C Stuart"
1,1100,"Rosenbaum, Miss. Edith Louise"
0,1101,"Delalic, Mr. Redjo"
0,1102,"Andersen, Mr. Albert Karvin"
1,1103,"Finoli, Mr. Luigi"
0,1104,"Deacon, Mr. Percy William"
0,1105,"Howard, Mrs. Benjamin (Ellen Truelove Arman)"
0,1106,"Andersson, Miss. Ida Augusta Margareta"
0,1107,"Head, Mr. Christopher"
0,1108,"Mahon, Miss. Bridget Delia"
0,1109,"Wick, Mr. George Dennick"
1,1110,"Widener, Mrs. George Dunton (Eleanor Elkins)"
0,1111,"Thomson, Mr. Alexander Morrison"
1,1112,"Duran y More, Miss. Florentina"
0,1113,"Reynolds, Mr. Harold J"
1,1114,"Cook, Mrs. (Selena Rogers)"
1,1115,"Karlsson, Mr. Einar Gervasius"
1,1116,"Candee, Mrs. Edward (Helen Churchill Hungerford)"
1,1117,"Moubarek, Mrs. George (Omine ""Amenia"" Alexander)"
1,1118,"Asplund, Mr. Johan Charles"
0,1119,"McNeill, Miss. Bridget"
0,1120,"Everett, Mr. Thomas James"
0,1121,"Hocking, Mr. Samuel James Metcalfe"
0,1122,"Sweet, Mr. George Frederick"
1,1123,"Willard, Miss. Constance"
0,1124,"Wiklund, Mr. Karl Johan"
0,1125,"Linehan, Mr. Michael"
0,1126,"Cumings, Mr. John Bradley"
0,1127,"Vendel, Mr. Olof Edvin"
0,1128,"Warren, Mr. Frank Manley"
0,1129,"Baccos, Mr. Raffull"
0,1130,"Hiltunen, Miss. Marta"
1,1131,"Douglas, Mrs. Walter Donald (Mahala Dutton)"
1,1132,"Lindstrom, Mrs. Carl Johan (Sigrid Posse)"
1,1133,"Christy, Mrs. (Alice Frances)"
1,1134,"Spedden, Mr. Frederic Oakley"
1,1135,"Hyman, Mr. Abraham"
0,1136,"Johnston, Master. William Arthur ""Willie"""
0,1137,"Kenyon, Mr. Frederick R"
0,1138,"Karnes, Mrs. J Frank (Claire Bennett)"
0,1139,"Drew, Mr. James Vivian"
1,1140,"Hold, Mrs. Stephen (Annie Margaret Hill)"
